Date,Route,Rating,Notes,URL,Pitches,Location,"Avg Stars","Your Stars",Style,"Lead Style","Route Type","Your Rating",Length,"Rating Code"
2021-07-11,Retrospade,5.11c/d,"1 fall, missed that crimp! ",https://www.mountainproject.com/route/106066661/retrospade,1,"New Hampshire > *Rumney > New Wave",3.1,-1,Lead,Fell/Hung,Sport,,70,5400
2021-07-11,Smokestack,5.9+,,https://www.mountainproject.com/route/105998986/smokestack,1,"New Hampshire > *Rumney > New Wave",3.4,-1,Lead,Onsight,Sport,,,2500
2021-07-11,"Things I Never Learned",5.9,,https://www.mountainproject.com/route/105925175/things-i-never-learned,1,"New Hampshire > *Rumney > Jimmy Cliff",2.2,-1,Lead,,Sport,,,2400
2021-07-11,"Easter Squall",5.10b,,https://www.mountainproject.com/route/106075680/easter-squall,1,"New Hampshire > *Rumney > Jimmy Cliff",2.0,-1,Lead,Onsight,Sport,,30,2900
2021-07-11,"Juan Valdez",5.10b,,https://www.mountainproject.com/route/105962294/juan-valdez,1,"New Hampshire > *Rumney > The Parking Lot Wall",2.5,-1,Lead,Onsight,Sport,,,2900
2021-07-11,Espresso,5.10d,,https://www.mountainproject.com/route/105898433/espresso,1,"New Hampshire > *Rumney > The Parking Lot Wall",3.1,-1,Lead,Fell/Hung,Sport,,60,3500
2021-07-11,"Glory Jean's",5.6,,https://www.mountainproject.com/route/105961422/glory-jeans,1,"New Hampshire > *Rumney > The Parking Lot Wall",2.5,-1,TR,,Sport,,40,1600
2021-07-11,"Teacher's Pet",5.7,,https://www.mountainproject.com/route/105925169/teachers-pet,1,"New Hampshire > *Rumney > Jimmy Cliff",1.8,-1,Lead,,Sport,,,1800
2021-07-10,"Rise and Shine",5.7,,https://www.mountainproject.com/route/105962922/rise-and-shine,1,"New Hampshire > *Rumney > The Parking Lot Wall",2.4,-1,Lead,,Sport,,,1800
2021-07-10,"Easily Aroused",5.9,,https://www.mountainproject.com/route/105971474/easily-aroused,1,"New Hampshire > *Rumney > The Parking Lot Wall",1.7,-1,Lead,,Sport,,,2400
